  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
56-062241 O US WY CHEYENNE         41 03 12.26N 104 57 57.56W WINDMILL           1 00499 06996 W 4 D W 2022WTW06842OE A 2023215 
56-062142 O US WY CHEYENNE         41 03 13.02N 105 00 11.19W WINDMILL           1 00488 07152 W 4 D W 2018WTW15865OE C 2023215 
56-062144 O US WY CHEYENNE         41 03 14.57N 104 59 16.92W WINDMILL           1 00499 07114 W 4 D W 2018WTW15867OE C 2023215 
56-062145 O US WY CHEYENNE         41 03 15.13N 104 58 35.07W WINDMILL           1 00499 07078 W 4 D W 2018WTW15868OE C 2023214 
56-021471 O US WY DIXON            41 03 15.92N 107 26 54.54W FENCE              1 00012 07066 U 1 B U                A 2013260 
56-052696 O US WY CHEYENNE         41 03 16.27N 105 03 58.39W WINDMILL           1 00499 07451 W 4 D W 2020WTW01857OE C 2022062 
56-052693 O US WY CHEYENNE         41 03 16.70N 105 10 59.84W WINDMILL           1 00499 07950 W 4 D W 2020WTW01788OE C 2022047 
56-052412 O US WY CHEYENNE         41 03 16.78N 105 08 25.08W WINDMILL           1 00499 07648 W 4 D W 2020WTW01824OE C 2021344 
56-062236 O US WY CHEYENNE         41 03 16.91N 105 01 23.28W WINDMILL           1 00499 07233 W 4 D W 2022WTW06835OE A 2023212 
56-052785 O US WY CHEYENNE         41 03 18.38N 105 02 06.96W WINDMILL           1 00499 07304 W 4 D W 2020WTW01915OE C 2022062 
56-052695 O US WY CHEYENNE         41 03 21.76N 105 05 05.74W WINDMILL           1 00499 07524 W 4 D W 2020WTW01853OE C 2022059 
56-052504 O US WY CHEYENNE         41 03 21.94N 105 03 21.79W WINDMILL           1 00499 07375 W 4 D W 2020WTW01863OE C 2021344 
56-062237 O US WY CHEYENNE         41 03 23.77N 104 59 58.85W WINDMILL           1 00499 07146 W 4 D W 2022WTW06841OE A 2023212 
56-052426 O US WY CHEYENNE         41 03 24.22N 105 06 35.96W WINDMILL           1 00499 07595 W 4 D W 2020WTW01839OE C 2021344 
56-062240 O US WY CHEYENNE         41 03 24.26N 104 57 40.90W WINDMILL           1 00499 06993 W 4 D W 2022WTW06839OE A 2023215 
56-062141 O US WY CHEYENNE         41 03 26.31N 105 00 43.35W WINDMILL           1 00499 07186 W 4 D W 2018WTW15864OE C 2023209 
56-052803 U US WY CHEYENNE         41 03 26.92N 105 10 53.77W MET                1 00030 07446 N 4 D N 2020WTW01919OE A 2020176 
56-052534 O US WY CHEYENNE         41 03 28.31N 105 09 23.86W WINDMILL           1 00499 07768 W 4 D W 2020WTW01808OE C 2022048 
56-052432 O US WY CHEYENNE         41 03 28.96N 105 05 49.68W WINDMILL           1 00499 07568 W 4 D W 2020WTW01849OE C 2021342 
56-052538 O US WY CHEYENNE         41 03 29.03N 105 04 32.32W WINDMILL           1 00499 07479 W 4 D W 2020WTW01856OE C 2022061 
56-062146 O US WY CHEYENNE         41 03 29.51N 104 58 31.77W WINDMILL           1 00488 07061 W 4 D W 2018WTW15869OE C 2023226 
56-062235 O US WY CHEYENNE         41 03 29.69N 105 01 21.53W WINDMILL           1 00499 07210 W 4 D W 2022WTW06834OE A 2023214 
56-052411 O US WY CHEYENNE         41 03 32.00N 105 08 13.45W WINDMILL           1 00499 07730 W 4 D W 2020WTW01823OE C 2021344 
56-000356 O US WY HERMOSA          41 03 38.00N 105 28 54.00W TOWER              1 00258 08247 D 5 E N 2000ANM00294OE C 2014152 
56-062143 O US WY CHEYENNE         41 03 39.09N 104 59 41.74W WINDMILL           1 00488 07126 W 4 D W 2018WTW15866OE C 2023235 
56-052535 O US WY CHEYENNE         41 03 39.50N 105 05 26.65W WINDMILL           1 00499 07504 W 4 D W 2020WTW01848OE C 2022054 
56-052420 O US WY CHEYENNE         41 03 42.12N 105 07 11.84W WINDMILL           1 00499 07669 W 4 D W 2020WTW01833OE C 2021348 
56-052497 O US WY CHEYENNE         41 03 44.05N 105 03 25.19W WINDMILL           1 00499 07387 W 4 D W 2020WTW01862OE C 2021344 
56-052425 O US WY CHEYENNE         41 03 44.16N 105 06 31.22W WINDMILL           1 00499 07592 W 4 D W 2020WTW01838OE C 2021349 
56-052404 O US WY CHEYENNE         41 03 45.09N 105 08 45.11W WINDMILL           1 00499 07787 W 4 D W 2020WTW01807OE C 2021343 
56-062140 O US WY CHEYENNE         41 03 45.17N 104 58 06.07W WINDMILL           1 00499 07058 W 4 D W 2018WTW15863OE C 2023187 
