  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-002284 O US MO CARUTHERSVILLE   36 11 32.74N 089 40 29.61W TOWER              1 00207 00475 D 1 C N 2007ACE04444OE C 2008128 
29-024753 O US MO CARUTHERSVILLE   36 11 34.67N 089 40 00.35W TOWER              1 00060 00331 N 5 D N 2014ACE00949OE A 2014149 
29-000891 O US MO CARUTHERSVILLE   36 11 39.00N 089 39 12.00W ELEVATOR           1 00230 00512 R 3 C N 1995ACE00230OE C 2014138 
29-076405 U US MO HAYTI  MO        36 11 43.59N 089 49 31.04W T-L TWR            1 00056 00318 N 4 D N 2019ACE04977OE A 2021077 
29-002295 O US MO HAYTI            36 12 19.00N 089 43 07.00W TOWER              1 00204 00468 D 2 C N 2000ACE00970OE C 2014138 
29-076401 U US MO HAYTI  MO        36 12 22.44N 089 49 31.28W T-L TWR            1 00056 00318 N 4 D N 2019ACE04976OE A 2021077 
29-000224 O US MO CARUTHERSVILLE   36 12 47.27N 089 41 25.96W TOWER              1 00360 00626 R 1 B P 1997ACE00671OE C 2022201 
29-076406 U US MO HAYTI  MO        36 12 48.15N 089 49 31.45W T-L TWR            1 00056 00318 N 4 D N 2019ACE04975OE A 2021078 
29-001693 O US MO KENNETT          36 12 53.00N 090 03 50.00W TOWER              1 00120 00384 N 5 D N 1994ACE00249OE C 2014138 
29-023743 O US MO KENNETT          36 13 00.83N 090 02 30.67W POLE               1 00010 00266 U 1 B U                A 2014078 
29-001778 O US MO KENNETT          36 13 03.63N 090 05 27.46W TOWER              1 00310 00568 D 2 C N 2022ACE07898OE C 2023192 
29-006008 U US MO KENNETT          36 13 06.00N 090 03 42.00W TOWER              1 00171 00436 U     U                A 1976043 
29-076409 U US MO HAYTI  MO        36 13 07.38N 089 49 28.08W T-L TWR            1 00056 00322 N 4 D N 2019ACE04974OE A 2021078 
29-076397 U US MO HAYTI  MO        36 13 09.37N 089 45 24.21W T-L TWR            1 00056 00326 N 4 D N 2019ACE04970OE A 2021075 
29-076398 U US MO HAYTI  MO        36 13 09.50N 089 48 36.32W T-L TWR            1 00056 00314 N 4 D N 2019ACE04973OE A 2021075 
29-076402 U US MO HAYTI  MO        36 13 09.73N 089 46 02.45W T-L TWR            1 00056 00325 N 4 D N 2019ACE04971OE A 2021078 
29-076416 U US MO HAYTI  MO        36 13 10.08N 089 47 03.30W T-L TWR            1 00056 00323 N 4 D N 2019ACE04972OE A 2021084 
29-000956 O US MO CARUTHERSVILLE   36 13 15.06N 089 42 37.80W TOWER              1 00205 00464 R 4 D P 2018ACE02873OE C 2018277 
29-001512 O US MO BAKERVILLE       36 13 28.00N 089 57 36.00W TOWER              1 00289 00548 M 5 D N 1991ACE00241OE C 2014138 
29-076030 O US MO KENNETT          36 13 28.53N 090 03 13.70W TOWER              1 00131 00395 N 1 A N 2020ACE00027OE A 2020349 
29-000168 O US MO KENNETT          36 13 29.00N 090 04 32.00W TOWER              1 00399 00670 R 4 D M 1973ACE00333OE C 2014138 
29-001420 O US MO KENNETT          36 13 39.52N 090 03 47.67W TOWER              1 00404 00668 D 1 A N 2020ACE08303OE C 2021144 
29-002654 O US MO HAYTI            36 13 49.00N 089 43 40.00W SIGN               1 00073 00335 R 5 D M 2002ACE02435OE C 2003166 
29-050907 U US MO HAYTI            36 13 54.68N 089 45 32.44W TOWER              1 00160 00428 N 1 A N 2016ACE01133OE A 2018024 
29-000225 O US MO HAYTI            36 13 55.00N 089 52 38.00W TOWER              1 00256 00512 R 2 D M 1980ACE00870OE C 2014138 
29-023744 O US MO KENNETT          36 13 58.65N 090 02 14.36W TOWER              1 00069 00329 U 1 B U                A 2014078 
29-023745 O US MO KENNETT          36 14 00.29N 090 02 08.19W POLE               1 00025 00286 U 1 B U                A 2014078 
29-023746 O US MO KENNETT          36 14 01.18N 090 02 08.14W BLDG               1 00019 00281 U 1 B U                A 2014078 
29-021073 O US MO KENNETT          36 14 10.50N 090 03 35.70W TOWER              1 00122 00391 N 5 D N 2010ACE00653OE A 2013115 
29-023747 O US MO KENNETT          36 14 11.11N 090 01 59.34W SIGN               1 00041 00305 U 1 B U                A 2014078 
29-072661 O US MO KENNETT          36 14 12.47N 090 02 11.57W POLE               1 00030 00296 N 4 D N 2017ACE02238OE A 2020008 
29-072660 O US MO KENNETT          36 14 13.54N 090 02 01.03W POLE               1 00030 00296 N 4 D N 2017ACE02245OE A 2020024 
29-002125 O US MO KENNETH          36 14 25.00N 090 02 01.00W SIGN               1 00048 00315 N 5 D N 1999ACE01059OE C 2014138 
29-002905 O US MO KENNETT          36 14 48.00N 090 04 00.00W TOWER              1 00124 00390 N 5 D N 2005ACE00153OE C 2013249 
29-021093 O US MO KENNETT          36 14 58.57N 090 02 39.17W TOWER              1 00122 00393 N 5 D N 2012ACE00608OE A 2013127 
29-001193 O US MO KENNETT          36 15 05.00N 090 02 38.00W TANK               1 00133 00403 N 3 C N                C 2014138 
29-001315 O US MO KENNETT          36 15 06.00N 090 02 59.00W TOWER              1 00143 00405 N 3 C N 1997ACE00292OE C 2014138 
29-073043 O US MO KENNETT          36 15 54.29N 090 01 51.84W TOWER              1 00147 00415 N 1 A N 2018ACE05969OE C 2020244 
29-001635 O US MO HAYTI HEIGHTS    36 15 55.40N 089 48 24.80W TOWER              1 00315 00580 D 5 D N 2010ACE01846OE C 2016273 
29-001961 O US MO KENNETT          36 17 37.00N 090 00 52.00W TOWER              1 00260 00530 R 5 D M 1996ACE00841OE C 2014138 
29-002182 O US MO HAYTI            36 19 06.00N 089 42 01.00W TOWER              1 00250 00510 D 5 D N 1999ACE01624OE C 2003321 
29-002937 O US MO KENNETT          36 19 48.49N 090 01 26.71W TOWER              1 00259 00523 D 1 A N 2004ACE00785OE C 2008052 
29-001613 O US MO WARDELL          36 21 01.00N 089 49 54.00W TOWER              1 00235 00504 M 5 D N 2004ACE00630OE C 2004284 
29-023409 O US MO WARDELL          36 22 00.82N 089 56 04.76W TOWER              1 00180 00444 N 5 D N 2013ACE00382OE A 2014092 
29-001590 O US MO POINT PLEASANT   36 24 08.00N 089 32 01.00W T-L TWR            1 00361 00647 M 5 D N 1992ACE00188OE C 2014138 
29-001608 O US MO POINT PLEASANT   36 24 11.00N 089 31 49.00W CATENARY           1 00362 00646 N 5 D N 0092_SO00499OE C 2014138 
29-000415 O US MO PORTAGEVILLE     36 25 17.00N 089 43 14.00W TOWER              1 00320 00610 R 4 D M 1969ACE00095OE C 2014138 
29-000251 O US MO PORTAGEVILLE     36 25 30.00N 089 41 30.00W TOWER              1 00244 00524 R 4 D M                C 2014138 
29-072112 U US MO CLARKTON         36 27 14.64N 089 57 25.70W TOWER              1 00200 00469 N 4 D N 2018ACE05094OE A 2019345 
29-002572 O US MO MARSTON          36 27 18.00N 089 38 26.00W TOWER              1 00261 00543 D 5 D N 2002ACE01230OE C 2003124 
29-002250 O US MO PASCOLA          36 27 29.00N 089 37 04.00W TOWER              1 00300 00587 D 2 C N 2000ACE00967OE C 2014138 
29-002911 O US MO CAMPBELL         36 29 02.07N 090 05 09.26W TOWER              1 00314 00615 D 1 A N 2004ACE02126OE C 2004347 
29-000729 O US MO MARSTON          36 29 53.00N 089 40 04.00W TOWER              1 00322 00604 R 5 D M 2001ACE00902OE C 2001183 
29-002081 O US MO HARTZELL         36 29 55.00N 089 51 16.00W TOWER              1 00425 00696 R 5 D M 1995ACE00413OE C 2014138 
29-020640 O US MO JANE             36 30 17.53N 094 16 52.84W TOWER              1 00199 01319 N 1 A N 2011ACE00781OE A 2012052 
29-001578 O US MO MALDEN           36 30 18.00N 089 58 15.00W TOWER              1 00298 00588 R 3 C M                C 2014138 
29-000684 O US MO SOUTH WEST CITY  36 30 28.00N 094 36 36.00W TOWER              1 00328 01328 R 5 D M 1988ACE00373OE C 2014138 
29-025217 O US MO RIDGEDALE        36 30 28.39N 093 13 30.36W TOWER              1 00250 01600 D 1 A N 2015ACE02530OE A 2017009 
29-000331 O US MO THAYER           36 30 35.00N 091 33 10.00W TOWER              1 00404 01114 R 4 D M 2001ACE00947OE C 2001247 
29-001969 O US MO NEW MADRID       36 30 35.00N 089 33 41.00W STACK              1 00297 00593 M 5 D N 1991ACE00227OE C 2014138 
29-002889 O US MO BLUE EYE         36 30 40.54N 093 22 54.59W TOWER              1 00308 01688 D 5 E N 2004ACE02457OE C 2008023 
29-000340 O US MO MALDEN           36 30 42.00N 089 58 49.00W TOWER              1 00600 00884 R 4 D M 0067_KC00030OE C 2014138 
29-083628 O US MO THAYER           36 30 43.37N 091 32 52.88W TOWER              1 00276 00935 D 1 A N 2020ACE01738OE A 2023032 
29-002846 O US MO THAYER           36 30 43.44N 091 32 09.72W TOWER              1 00255 00857 D 1 A N 2004ACE00844OE C 2004299 
29-020644 O US MO BLUE EYE         36 30 45.00N 093 25 01.00W POLE               1 00125 01427 N 5 E N 2010ACE02413OE A 2012053 
29-003083 U US MO VALLEY RIDGE     36 30 48.60N 090 03 15.00W TOWER              1 00201 00513 N     N                A 2006155 
29-000694 O US MO MARSTON          36 30 53.00N 089 33 42.00W STACK              1 00800 01093 S 5 D U 1973ACE00437OE C 2014138 
29-000436 O US MO MARSTON          36 31 04.00N 089 33 56.00W TOWER              1 00310 00605 R 4 D M 1992ACE00388OE C 2014138 
29-001217 O US MO NEW MADRID       36 31 07.00N 089 36 34.00W TANK               1 00125 00420 U 4 D U                C 2014138 
29-002671 O US MO OAKMONT          36 31 09.02N 093 17 11.59W TOWER              1 00277 01540 M 2 C N 2015ACE02475OE C 2015198 
29-002281 O US MO HOLLISTER        36 31 23.00N 093 14 39.00W TOWER              1 00345 01679 D 2 C N 2000ACE00724OE C 2014138 
29-062275 U US MO THAYER  MO       36 31 43.00N 091 34 10.50W TOWER              1 00106 00870 N 4 D N 2019ACE06442OE A 2019281 
29-021982 O US MO NEW MADRID       36 31 44.73N 089 36 01.68W POLE               1 00034 00328 U 2 C U                A 2013346 
29-021981 O US MO NEW MADRID       36 31 46.74N 089 35 58.93W FENCE              1 00004 00298 U 2 C U                A 2013346 
29-021980 O US MO NEW MADRID       36 31 46.78N 089 35 54.34W BLDG               1 00014 00309 U 2 C U                A 2013346 
29-021979 O US MO NEW MADRID       36 31 46.96N 089 35 54.83W BLDG               1 00015 00310 U 2 C U                A 2013346 
29-021977 O US MO NEW MADRID       36 31 47.30N 089 35 53.58W POLE               1 00030 00324 U 2 C U                A 2013346 
29-021978 O US MO NEW MADRID       36 31 47.46N 089 35 53.88W BLDG               1 00021 00316 U 2 C U                A 2013346 
29-021976 O US MO NEW MADRID       36 31 48.04N 089 35 55.34W BLDG               1 00013 00308 U 2 C U                A 2013346 
29-021983 O US MO NEW MADRID       36 31 48.51N 089 36 02.15W POLE               1 00029 00323 U 2 C U                A 2013346 
