  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-020088 O US MO DE SOTO          38 05 29.86N 090 37 32.33W TOWER              1 00260 01057 M 2 C N 2008ACE03246OE C 2008347 
29-024698 O US MO DESOTO           38 05 31.41N 090 37 30.75W TOWER              1 00420 01217 D 2 C N 2012ACE04039OE A 2014129 
29-021357 O US MO KAISER/LAKE OZAR 38 05 31.65N 092 33 13.24W GEN UTIL           1 00007 00863 U 1 A U                A 2013323 
29-083354 O US MO BRUMLEY          38 05 41.77N 092 29 47.39W TOWER              1 00135 01060 N 1 A N 2023ACE02418OE C 2023242 
29-001593 O US MO IBERIA           38 05 43.14N 092 11 31.38W TOWER              1 00422 01439 D 2 C N 2011ACE01252OE C 2016308 
29-002949 O US MO CAMENDTON        38 05 43.74N 092 49 00.49W TOWER              1 00257 01183 D 5 D N 2004ACE02092OE C 2008030 
29-021343 O US MO KAISER/LAKE OZAR 38 05 44.56N 092 32 46.73W POLE               1 00057 00913 U 1 A U                A 2013323 
29-021354 O US MO KAISER/LAKE OZAR 38 05 44.57N 092 32 50.89W FENCE              1 00010 00867 U 1 A U                A 2013323 
29-021345 O US MO KAISER/LAKE OZAR 38 05 46.88N 092 33 11.99W POLE               1 00055 00924 U 1 A U                A 2013323 
29-021353 O US MO KAISER/LAKE OZAR 38 05 47.06N 092 32 48.55W FENCE              1 00002 00866 U 1 A U                A 2013323 
29-061935 O US MO CLIMAX SPRINGS   38 05 48.48N 093 03 33.72W TOWER              1 00306 01357 D 1 A N 2018ACE05121OE A 2019255 
29-021355 O US MO KAISER/LAKE OZAR 38 05 48.77N 092 33 03.82W FENCE              1 00009 00861 U 1 A U                A 2013323 
29-021356 O US MO KAISER/LAKE OZAR 38 05 48.88N 092 33 10.09W POLE               1 00054 00903 U 1 A U                A 2013323 
29-021351 O US MO KAISER/LAKE OZAR 38 05 48.96N 092 32 46.78W FENCE              1 00005 00865 U 1 A U                A 2013323 
29-022918 O US MO OSAGE BEACH      38 05 52.14N 092 41 06.61W T-L TWR            1 00072 00917 U 1 A U                A 2014029 
29-021350 O US MO KAISER/LAKE OZAR 38 05 55.37N 092 32 40.70W FENCE              1 00011 00866 U 1 A U                A 2013323 
29-021348 O US MO KAISER/LAKE OZAR 38 05 56.56N 092 32 39.07W FENCE              1 00008 00869 U 1 A U                A 2013323 
29-021338 O US MO KAISER/LAKE OZAR 38 05 57.00N 092 32 39.51W NAVAID             1 00028 00892 R 1 A U                A 2013323 
29-021352 O US MO KAISER/LAKE OZAR 38 05 57.07N 092 33 02.60W POLE               1 00035 00885 U 1 A U                A 2013323 
29-021368 O US MO KAISER/LAKE OZAR 38 05 58.53N 092 33 04.32W TOWER              1 00068 00933 U 1 A U                A 2013323 
29-022916 O US MO OSAGE BEACH      38 06 00.17N 092 40 28.78W TOWER              1 00097 00896 U 1 A U                A 2014029 
29-021349 O US MO KAISER/LAKE OZAR 38 06 01.83N 092 32 50.69W POLE               1 00024 00895 U 1 A U                A 2013323 
29-021346 O US MO KAISER/LAKE OZAR 38 06 03.81N 092 32 32.44W FENCE              1 00004 00874 U 1 A U                A 2013323 
29-024840 O US MO CUBA             38 06 04.47N 091 26 32.31W TOWER              1 00199 01185 N 1 A N 2014ACE01204OE A 2015014 
29-021347 O US MO KAISER/LAKE OZAR 38 06 09.87N 092 32 45.30W BLDG               1 00020 00889 U 1 A U                A 2013323 
29-021364 O US MO KAISER/LAKE OZAR 38 06 11.55N 092 32 26.42W POLE               1 00035 00887 U 1 A U                A 2013323 
29-002061 O US MO LEASBURG         38 06 12.00N 091 18 50.00W TOWER              1 00320 01344 D 5 E N 1997ACE01208OE C 2014138 
29-004110 U US MO LEASBURG         38 06 12.23N 091 18 55.20W TOWER              1 00308 01316 D 4 D N 2007ACE02398OE C 2014124 
29-001829 O US MO SULLIVAN         38 06 13.61N 091 02 29.05W TOWER              1 00903 01974 R 4 D P 2023ACE01584OE C 2023157 
29-062274 O US MO RICH HILL        38 06 16.39N 094 22 15.74W TOWER              1 00265 01047 D 1 A N 2017ACE05818OE A 2019290 
29-020496 O US MO VICHY            38 06 16.45N 091 44 29.07W TOWER              1 00270 01300 D 1 A N 2011ACE01494OE A 2011241 
29-001653 O US MO LEASBURG         38 06 17.00N 091 18 01.37W TOWER              1 00373 01415 R 4 D P 2023ACE07788OE C 2023328 
29-004064 O US MO DE SOTO          38 06 17.70N 090 28 54.30W TOWER              1 00270 01067 D 4 D N 2022ACE00067OE C 2022285 
29-022919 O US MO OSAGE BEACH      38 06 19.90N 092 40 04.64W T-L TWR            1 00029 00742 U 1 A U                A 2014029 
29-001830 O US MO CUBA             38 06 22.00N 091 22 47.00W TOWER              1 00365 01402 M 5 E N 2004ACE00604OE C 2004284 
29-022845 O US MO OSAGE BEACH      38 06 29.90N 092 40 43.47W NAVAID             1 00003 00863 U 1 A U                A 2014029 
29-002173 O US MO SUNRISE BEACH    38 06 32.09N 092 44 10.98W TOWER              1 00199 01026 N 1 A N 2013ACE00007OE C 2017187 
29-021713 O US MO DESOTO           38 06 34.46N 090 37 44.16W TOWER              1 00309 01121 D 1 A N 2013ACE03395OE A 2013343 
29-020201 O US MO FESTUS           38 06 34.63N 090 15 30.00W STACK              1 00520 00934 S 5 E N 2007ACE01655OE C 2009218 
29-024763 O US MO SULLIVAN         38 06 36.93N 091 03 58.42W TOWER              1 00312 01316 D 1 A N 2014ACE02392OE A 2014176 
29-020953 O US MO FESTUS           38 06 39.12N 090 15 23.96W STACK              1 00384 00795 D 5 E N 2009ACE01200OE A 2013046 
29-022920 O US MO OSAGE BEACH      38 06 39.26N 092 41 31.90W TANK               1 00147 01019 U 1 A U                A 2014029 
29-022846 O US MO OSAGE BEACH      38 06 39.60N 092 40 52.59W ELEC SYS           1 00001 00869 U 1 A U                A 2014029 
29-020910 O US MO VIENNA           38 06 41.00N 092 00 58.34W TOWER              1 00200 01328 N 1 A N 2011ACE02951OE A 2012332 
29-020997 O US MO OSCEOLA          38 06 41.59N 093 33 17.84W TOWER              1 00306 01234 D 2 C N 2012ACE03419OE A 2013095 
29-020938 O US MO CLIMAX SPRINGS   38 06 43.20N 092 54 47.40W TOWER              1 00320 01370 D 5 E N 2011ACE03257OE A 2013030 
29-022856 O US MO OSAGE BEACH      38 06 43.82N 092 41 11.11W POLE               1 00034 00900 U 1 A U                A 2014029 
29-022858 O US MO OSAGE BEACH      38 06 45.39N 092 41 08.87W BLDG               1 00029 00903 U 1 A U                A 2014029 
29-022867 O US MO OSAGE BEACH      38 06 45.49N 092 41 12.81W POLE               1 00040 00912 U 1 A U                A 2014029 
29-022872 O US MO OSAGE BEACH      38 06 45.77N 092 41 14.61W T-L TWR            1 00048 00922 U 1 A U                A 2014029 
29-022922 O US MO OSAGE BEACH      38 06 45.85N 092 41 16.54W T-L TWR            1 00076 00954 U 1 A U                A 2014029 
29-022863 O US MO OSAGE BEACH      38 06 45.91N 092 41 11.60W POLE               1 00024 00895 U 1 A U                A 2014029 
29-020970 O US MO VICHY            38 06 45.93N 091 51 40.57W TOWER              1 00306 01191 D 1 A N 2019ACE06929OE C 2019319 
29-020955 O US MO FESTUS           38 06 46.19N 090 15 18.55W ELEVATOR           1 00352 00760 D 5 E N 2009ACE01199OE A 2013052 
29-022864 O US MO OSAGE BEACH      38 06 46.58N 092 41 10.55W POLE               1 00036 00907 U 1 A U                A 2014029 
29-022862 O US MO OSAGE BEACH      38 06 47.21N 092 41 09.27W POLE               1 00039 00909 U 1 A U                A 2014029 
29-022874 O US MO OSAGE BEACH      38 06 47.29N 092 41 12.88W T-L TWR            1 00052 00923 U 1 A U                A 2014029 
29-022875 O US MO OSAGE BEACH      38 06 48.14N 092 41 11.89W T-L TWR            1 00052 00921 U 1 A U                A 2014029 
29-022881 O US MO OSAGE BEACH      38 06 48.23N 092 41 13.75W T-L TWR            1 00075 00951 U 1 A U                A 2014029 
29-022870 O US MO OSAGE BEACH      38 06 48.41N 092 41 08.85W BLDG               1 00026 00895 U 1 A U                A 2014029 
29-022854 O US MO OSAGE BEACH      38 06 48.42N 092 41 01.21W ELEC SYS           1 00001 00875 U 1 A U                A 2014029 
29-022868 O US MO OSAGE BEACH      38 06 48.51N 092 41 08.04W POLE               1 00042 00911 U 1 A U                A 2014029 
29-022897 O US MO OSAGE BEACH      38 06 48.84N 092 41 17.26W POLE               1 00024 00898 U 1 A U                A 2014029 
29-022876 O US MO OSAGE BEACH      38 06 48.90N 092 41 10.69W T-L TWR            1 00037 00904 U 1 A U                A 2014029 
29-022882 O US MO OSAGE BEACH      38 06 48.99N 092 41 12.55W T-L TWR            1 00044 00913 U 1 A U                A 2014029 
29-022848 O US MO OSAGE BEACH      38 06 49.37N 092 40 54.29W BLDG               1 00025 00897 U 1 A U                A 2014029 
29-022894 O US MO OSAGE BEACH      38 06 49.44N 092 41 15.45W T-L TWR            1 00072 00946 U 1 A U                A 2014029 
29-022877 O US MO OSAGE BEACH      38 06 49.67N 092 41 09.82W POLE               1 00035 00901 U 1 A U                A 2014029 
29-022908 O US MO OSAGE BEACH      38 06 49.68N 092 41 19.92W BLDG               1 00032 00901 U 1 A U                A 2014029 
29-022850 O US MO OSAGE BEACH      38 06 50.09N 092 40 56.08W BLDG               1 00025 00897 U 1 A U                A 2014029 
29-022905 O US MO OSAGE BEACH      38 06 50.25N 092 41 16.77W T-L TWR            1 00073 00943 U 1 A U                A 2014029 
29-022896 O US MO OSAGE BEACH      38 06 50.32N 092 41 14.72W SIGN               1 00037 00906 U 1 A U                A 2014029 
29-022878 O US MO OSAGE BEACH      38 06 50.38N 092 41 08.87W SIGN               1 00032 00897 U 1 A U                A 2014029 
29-022887 O US MO OSAGE BEACH      38 06 50.41N 092 41 12.19W SIGN               1 00076 00937 U 1 A U                A 2014029 
29-022855 O US MO OSAGE BEACH      38 06 50.89N 092 40 58.25W NAVAID             1 00028 00901 R 1 A U                A 2014029 
29-022849 O US MO OSAGE BEACH      38 06 50.90N 092 40 52.91W BLDG               1 00030 00901 U 1 A U                A 2014029 
29-022851 O US MO OSAGE BEACH      38 06 50.95N 092 40 55.20W BLDG               1 00021 00893 U 1 A U                A 2014029 
29-022853 O US MO OSAGE BEACH      38 06 50.96N 092 40 56.94W POLE               1 00042 00914 U 1 A U                A 2014029 
29-022884 O US MO OSAGE BEACH      38 06 51.28N 092 41 09.93W POLE               1 00044 00902 U 1 A U                A 2014029 
29-022880 O US MO OSAGE BEACH      38 06 51.37N 092 41 08.19W T-L TWR            1 00038 00898 U 1 A U                A 2014029 
29-022852 O US MO OSAGE BEACH      38 06 51.38N 092 40 54.62W BLDG               1 00023 00895 U 1 A U                A 2014029 
29-022847 O US MO OSAGE BEACH      38 06 51.45N 092 40 47.87W POLE               1 00032 00898 U 1 A U                A 2014029 
29-022910 O US MO OSAGE BEACH      38 06 52.39N 092 41 19.03W T-L TWR            1 00074 00928 U 1 A U                A 2014029 
29-022885 O US MO OSAGE BEACH      38 06 52.41N 092 41 08.60W POLE               1 00045 00898 U 1 A U                A 2014029 
29-022909 O US MO OSAGE BEACH      38 06 52.52N 092 41 17.27W T-L TWR            1 00041 00900 U 1 A U                A 2014029 
29-022861 O US MO OSAGE BEACH      38 06 52.65N 092 40 58.16W TOWER              1 00054 00927 U 1 A U                A 2014029 
29-022860 O US MO OSAGE BEACH      38 06 52.81N 092 40 57.86W POLE               1 00036 00917 U 1 A U                A 2014029 
29-022859 O US MO OSAGE BEACH      38 06 53.31N 092 40 56.60W POLE               1 00040 00917 U 1 A U                A 2014029 
29-021365 O US MO KAISER/LAKE OZAR 38 06 53.42N 092 32 21.87W T-L TWR            1 00046 00974 U 1 A U                A 2013323 
29-022911 O US MO OSAGE BEACH      38 06 53.44N 092 41 20.11W T-L TWR            1 00078 00923 U 1 A U                A 2014029 
29-022866 O US MO OSAGE BEACH      38 06 53.45N 092 40 59.75W POLE               1 00032 00903 U 1 A U                A 2014029 
29-022889 O US MO OSAGE BEACH      38 06 53.57N 092 41 07.29W POLE               1 00044 00899 U 1 A U                A 2014029 
29-021369 O US MO KAISER/LAKE OZAR 38 06 53.93N 092 32 24.58W T-L TWR            1 00031 00952 U 1 A U                A 2013323 
29-022857 O US MO OSAGE BEACH      38 06 53.99N 092 40 54.54W POLE               1 00040 00909 U 1 A U                A 2014029 
29-022912 O US MO OSAGE BEACH      38 06 54.38N 092 41 21.11W T-L TWR            1 00075 00917 U 1 A U                A 2014029 
29-022902 O US MO OSAGE BEACH      38 06 54.40N 092 41 08.92W TOWER              1 00060 00907 U 1 A U                A 2014029 
29-020770 O US MO OSAGE BEACH      38 06 54.41N 092 41 37.96W TOWER              1 00173 00998 N 1 A N 2006ACE01986OE C 2014030 
29-022891 O US MO OSAGE BEACH      38 06 54.61N 092 41 06.09W POLE               1 00035 00895 U 1 A U                A 2014029 
29-022871 O US MO OSAGE BEACH      38 06 54.94N 092 40 59.09W POLE               1 00048 00918 U 1 A U                A 2014029 
29-022879 O US MO OSAGE BEACH      38 06 54.98N 092 41 01.39W POLE               1 00043 00911 U 1 A U                A 2014029 
29-022883 O US MO OSAGE BEACH      38 06 55.02N 092 41 03.42W T-L TWR            1 00035 00901 U 1 A U                A 2014029 
29-022869 O US MO OSAGE BEACH      38 06 55.70N 092 40 56.74W POLE               1 00023 00893 U 1 A U                A 2014029 
29-022898 O US MO OSAGE BEACH      38 06 55.87N 092 41 05.82W BLDG               1 00033 00893 U 1 A U                A 2014029 
29-022893 O US MO OSAGE BEACH      38 06 55.95N 092 41 04.56W POLE               1 00034 00897 U 1 A U                A 2014029 
29-022886 O US MO OSAGE BEACH      38 06 56.12N 092 41 02.78W T-L TWR            1 00032 00897 U 1 A U                A 2014029 
29-022865 O US MO OSAGE BEACH      38 06 56.17N 092 40 54.85W BLDG               1 00028 00896 U 1 A U                A 2014029 
29-022873 O US MO OSAGE BEACH      38 06 56.92N 092 40 56.34W BLDG               1 00022 00891 U 1 A U                A 2014029 
29-022890 O US MO OSAGE BEACH      38 06 56.98N 092 41 01.79W T-L TWR            1 00060 00925 U 1 A U                A 2014029 
29-022888 O US MO OSAGE BEACH      38 06 57.53N 092 41 00.53W BLDG               1 00032 00897 U 1 A U                A 2014029 
29-022899 O US MO OSAGE BEACH      38 06 57.67N 092 41 02.90W POLE               1 00058 00918 U 1 A U                A 2014029 
29-022900 O US MO OSAGE BEACH      38 06 58.30N 092 41 01.90W POLE               1 00040 00901 U 1 A U                A 2014029 
29-022892 O US MO OSAGE BEACH      38 06 58.77N 092 40 59.76W T-L TWR            1 00058 00922 U 1 A U                A 2014029 
29-022903 O US MO OSAGE BEACH      38 06 59.28N 092 41 01.07W T-L TWR            1 00041 00901 U 1 A U                A 2014029 
29-022904 O US MO OSAGE BEACH      38 07 00.50N 092 40 59.95W POLE               1 00035 00895 U 1 A U                A 2014029 
29-021342 O US MO KAISER/LAKE OZAR 38 07 00.54N 092 30 46.80W T-L TWR            1 00039 00946 U 1 A U                A 2013323 
29-022895 O US MO OSAGE BEACH      38 07 00.71N 092 40 57.57W T-L TWR            1 00055 00920 U 1 A U                A 2014029 
29-021339 O US MO KAISER/LAKE OZAR 38 07 00.98N 092 31 08.37W T-L TWR            1 00033 00955 U 1 A U                A 2013323 
29-022906 O US MO OSAGE BEACH      38 07 01.24N 092 40 58.93W SIGN               1 00044 00905 U 1 A U                A 2014029 
29-022901 O US MO OSAGE BEACH      38 07 02.12N 092 40 55.95W T-L TWR            1 00058 00920 U 1 A U                A 2014029 
29-022907 O US MO OSAGE BEACH      38 07 03.19N 092 40 56.31W T-L TWR            1 00041 00901 U 1 A U                A 2014029 
29-022921 O US MO OSAGE BEACH      38 07 04.28N 092 40 53.44W T-L TWR            1 00054 00911 U 1 A U                A 2014029 
29-023568 O US MO ROLLA-VICHY      38 07 04.64N 091 45 45.37W SIGN               1 00008 01166 U 2 C U                A 2014074 
29-002351 O US MO IBERIA           38 07 07.00N 092 19 16.00W TOWER              1 00345 01267 D 5 D N 2000ACE02702OE C 2001183 
29-022913 O US MO OSAGE BEACH      38 07 08.95N 092 41 02.12W TANK               1 00171 01008 R 1 A U                A 2014029 
29-023347 O US MO FESTUS           38 07 11.04N 090 16 55.92W TOWER              1 00499 01117 D 2 C N 2012ACE03598OE A 2014080 
29-003098 O US MO VICHY            38 07 15.00N 091 48 45.00W TOWER              1 00264 01223 D 2 C N 2006ACE01123OE C 2008085 
29-000070 O US MO OSAGE BEACH      38 07 20.02N 092 40 42.73W TOWER              1 00218 01088 D 1 A N 2019ACE01028OE C 2019123 
29-002683 O US MO HAHATONKA        38 07 21.00N 092 40 41.00W TOWER              1 00170 01045 N 2 C N 2001ACE02267OE A 2003138 
29-004071 O US MO HAHATONKA        38 07 21.53N 092 48 55.14W TOWER              1 00255 01120 D 5 E N 2006ACE01903OE C 2008043 
29-023565 O US MO ROLLA-VICHY      38 07 26.05N 091 46 53.23W POLE               1 00033 01176 U 2 C U                A 2014074 
29-085090 U US MO OSAGE BEACH      38 07 32.00N 092 38 03.10W TANK               1 00194 00972 N 4 D N 2023ACE01629OE A 2024039 
29-022643 O US MO VICHY            38 07 33.91N 091 46 59.50W BLDG               1 00073 01202 N 5 E N 2013ACE02389OE A 2014034 
29-024769 O US MO VIENNA           38 07 39.27N 091 57 31.99W TOWER              1 00348 01379 D 1 A N 2012ACE03721OE A 2014188 
29-001875 O US MO OSAGE BEACH      38 07 39.39N 092 42 05.27W TANK               1 00128 00980 R 1 A N 1995ACE00511OE C 2014030 
29-023564 O US MO ROLLA-VICHY      38 07 39.69N 091 46 14.84W POLE               1 00025 01148 U 2 C U                A 2014074 
29-020784 O US MO OSAGE BEACH      38 07 43.98N 092 39 23.96W TOWER              1 00199 00987 N 2 C N 2006ACE02645OE A 2012242 
29-000517 O US MO RUSH TOWER       38 07 49.00N 090 15 44.00W STACK              1 00710 01120 S 5 E N 1971ACE00184OE C 2014138 
29-021344 O US MO KAISER/LAKE OZAR 38 07 49.02N 092 33 24.96W POLE               1 00053 01052 U 1 C U                A 2013323 
29-023563 O US MO ROLLA-VICHY      38 07 54.50N 091 45 52.83W TOWER              1 00029 01139 U 2 C U                A 2014074 
