  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
17-000544 O US IL OLMSTED          37 12 01.91N 089 03 51.15W TOWER              1 00282 00756 R 5 D P 2015AGL13132OE C 2016197 
17-003044 O US IL VILLA RIDGE      37 12 07.00N 089 09 23.00W TOWER              1 00197 00659 N 5 D N 2002AGL01673OE C 2003124 
17-027670 O US IL METROPOLIS       37 12 11.99N 088 44 15.81W POLE               1 00058 00442 U 1 A U                A 2014014 
17-001489 O US IL JOPPA            37 12 16.00N 088 51 11.00W CATENARY           1 00405 00715 N 5 D N                C 2014138 
17-001011 O US IL JOPPA            37 12 19.00N 088 51 08.00W T-L TWR            1 00499 00823 M 1 D N 1993AGL02325OE C 2014138 
17-001848 O US IL PULASKI          37 12 24.00N 089 12 29.00W TOWER              1 00230 00662 R 5 D M 1988AGL01771OE C 2014138 
17-001488 O US IL JOPPA            37 12 30.00N 088 51 47.00W CATENARY           1 00415 00715 N 5 D N                C 2014138 
17-001487 O US IL JOPPA            37 12 33.00N 088 51 53.00W CATENARY           1 00415 00715 N 5 D N                C 2014138 
17-006012 U US IL OLMSTED          37 12 33.00N 089 06 15.00W TOWER              1 00101 00564 U     U                A 1976072 
17-000331 O US IL JOPPA            37 12 33.67N 088 51 45.80W T-L TWR            1 00485 00833 R 1 A M 2005AGL00120OE C 2005058 
17-001012 O US IL JOPPA            37 12 34.00N 088 51 30.00W STACK              3 00550 00900 S 1 D N 1974AGL01831OE C 2014138 
17-002229 O US IL VILLA RIDGE      37 12 34.10N 089 09 17.10W TOWER              1 00276 00731 R 3 C P 2018AGL22229OE C 2019039 
17-001042 O US IL JOPPA            37 12 37.00N 088 51 52.00W T-L TWR            1 00480 00828 M 5 D N 1993AGL02324OE C 2014138 
17-027647 O US IL METROPOLIS       37 12 43.91N 088 44 55.93W POLE               1 00061 00486 U 1 A U                A 2014014 
