  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
04-020707 O US AZ DOUGLAS-BISBEE   31 27 20.61N 109 36 27.59W POLE               1 00030 04112 U 1 A U                A 2013157 
04-020706 O US AZ DOUGLAS-BISBEE   31 27 21.20N 109 36 27.40W POLE               1 00034 04116 U 1 A U                A 2013157 
04-020705 O US AZ DOUGLAS-BISBEE   31 27 21.23N 109 36 27.40W POLE               1 00034 04116 U 1 A U                A 2013157 
04-021772 O US AZ NOGALES          31 27 22.50N 110 50 46.90W POLE               1 00033 04188 U 1 B U                A 2013158 
04-021774 O US AZ NOGALES          31 27 27.88N 110 49 53.45W POLE               1 00044 04223 U 1 B U                A 2013158 
04-020699 O US AZ DOUGLAS-BISBEE   31 27 30.29N 109 36 24.26W NAVAID             1 00033 04127 U 1 A U                A 2013157 
04-000097 O US AZ NOGALES          31 27 35.00N 111 00 22.00W TOWER              1 00110 03773 R 4 E U 0070_WE00089OE C 2014152 
04-020677 O US AZ DOUGLAS-BISBEE   31 27 38.53N 109 35 56.79W TOWER              1 00039 04148 U 1 A U                A 2013157 
04-000359 O US AZ DOUGLAS          31 27 49.14N 109 35 41.11W TANK               1 00165 04282 R 1 A P 0073_WE00503OE C 2011066 
04-020695 O US AZ DOUGLAS-BISBEE   31 27 50.07N 109 32 42.30W POLE               1 00042 04235 U 1 A U                A 2013157 
04-020697 O US AZ DOUGLAS-BISBEE   31 27 54.73N 109 31 49.82W POLE               1 00042 04287 U 1 A U                A 2013157 
04-053366 U US AZ HEREFORD         31 27 57.70N 110 15 14.80W TOWER              1 00086 04817 N 1 A N 2014AWP08223OE A 2018024 
04-020690 O US AZ DOUGLAS-BISBEE   31 27 58.46N 109 39 50.17W POLE               1 00030 04056 U 1 A U                A 2013157 
04-020691 O US AZ DOUGLAS-BISBEE   31 28 00.93N 109 39 51.25W POLE               1 00033 04061 U 1 B U                A 2013157 
04-020679 O US AZ DOUGLAS-BISBEE   31 28 02.07N 109 35 32.73W POLE               1 00054 04187 U 1 A U                A 2013157 
04-021775 O US AZ NOGALES          31 28 12.11N 110 50 59.39W POLE               1 00030 04328 U 1 B U                A 2013158 
04-020685 O US AZ DOUGLAS-BISBEE   31 28 12.22N 109 36 14.66W NAVAID             1 00001 04125 U 1 A U                A 2013157 
04-020684 O US AZ DOUGLAS-BISBEE   31 28 12.54N 109 36 08.20W FENCE              1 00003 04129 U 1 A U                A 2013157 
04-020693 O US AZ DOUGLAS-BISBEE   31 28 12.91N 109 34 44.21W POLE               1 00035 04197 U 1 B U                A 2013157 
04-020681 O US AZ DOUGLAS-BISBEE   31 28 14.40N 109 36 05.93W FENCE              1 00004 04133 U 1 A U                A 2013157 
04-020688 O US AZ DOUGLAS-BISBEE   31 28 14.78N 109 36 49.54W POLE               1 00021 04125 U 1 A U                A 2013157 
04-020683 O US AZ DOUGLAS-BISBEE   31 28 21.42N 109 36 07.99W TOWER              1 00038 04170 U 1 A U                A 2013157 
04-020682 O US AZ DOUGLAS-BISBEE   31 28 21.63N 109 36 07.39W NAVAID             1 00029 04161 U 1 A U                A 2013157 
04-020692 O US AZ DOUGLAS-BISBEE   31 28 24.53N 109 40 05.84W POLE               1 00030 04070 U 1 B U                A 2013157 
04-020678 O US AZ DOUGLAS-BISBEE   31 28 27.21N 109 35 15.66W FENCE              1 00003 04165 U 1 A U                A 2013157 
04-020680 O US AZ DOUGLAS-BISBEE   31 28 29.12N 109 35 55.23W POLE               1 00008 04151 U 1 A U                A 2013157 
04-020686 O US AZ DOUGLAS-BISBEE   31 28 32.91N 109 36 41.72W POLE               1 00008 04127 U 1 A U                A 2013157 
04-020687 O US AZ DOUGLAS-BISBEE   31 28 38.28N 109 36 46.40W FENCE              1 00005 04124 U 1 B U                A 2013157 
04-020694 O US AZ DOUGLAS-BISBEE   31 28 51.99N 109 33 45.72W FENCE              1 00011 04223 U 1 B U                A 2013157 
04-023900 O US AZ BISBEE           31 28 53.65N 109 57 33.85W TOWER              1 00196 07332 N 1 A N 2019AWP01109OE C 2019144 
04-020696 O US AZ DOUGLAS-BISBEE   31 28 56.31N 109 31 55.05W BLDG               1 00033 04306 U 1 A U                A 2013157 
04-020689 O US AZ DOUGLAS-BISBEE   31 28 58.32N 109 38 53.00W WINDMILL           1 00034 04110 U 1 A U                A 2013157 
04-020700 O US AZ DOUGLAS-BISBEE   31 29 04.13N 109 36 34.34W GEN UTIL           1 00005 04146 U 1 B U                A 2013157 
04-000378 O US AZ FORT HUACHUCA    31 29 07.00N 110 17 47.00W BALLOON            1 10125 15000 M 5 E N                C 2009191 
04-020718 O US AZ DOUGLAS-BISBEE   31 29 11.82N 109 34 40.81W POLE               1 00047 04258 U 1 B U                A 2013157 
04-020701 O US AZ DOUGLAS-BISBEE   31 29 14.38N 109 35 56.76W WINDMILL           1 00042 04209 U 1 B U                A 2013157 
04-023917 U US AZ SIERRA VISTA     31 29 59.60N 110 15 17.00W TOWER              1 00136 04758 N 4 D N 2011AWP03534OE A 2016246 
04-000662 O US AZ SIERRA VISTA     31 30 32.23N 110 14 36.08W TOWER              1 00198 04749 D 1 A N 2014AWP01590OE C 2014136 
04-020702 O US AZ DOUGLAS-BISBEE   31 30 36.61N 109 36 13.87W FENCE              1 00003 04193 U 1 A U                A 2013157 
04-020703 O US AZ DOUGLAS-BISBEE   31 30 36.63N 109 36 17.99W FENCE              1 00003 04190 U 1 A U                A 2013157 
04-020704 O US AZ DOUGLAS-BISBEE   31 31 08.44N 109 35 46.40W WINDMILL           1 00035 04244 U 1 A U                A 2013157 
04-081116 U US AZ SIERRA VISTA     31 31 48.00N 110 17 31.00W TOWER              1 00104 04782 N 4 D N 2021AWP11147OE A 2023038 
04-000059 O US AZ SIERRA VISTA     31 32 47.00N 110 16 30.00W TOWER              2 00179 04744 R 5 E U                C 2014152 
