  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
34-062592 U US NJ MIDDLE TOWNSHIP  39 04 22.07N 074 44 42.76W UTILITY POLE       1 00070 00076 N 4 D N 2017AEA08612OE A 2018030 
34-062518 U US NJ MIDDLE TOWNSHIP  39 04 22.53N 074 47 40.89W UTILITY POLE       1 00078 00085 N 4 D N 2017AEA08501OE C 2018030 
34-062599 U US NJ MIDDLE TOWNSHIP  39 04 23.55N 074 44 41.51W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08613OE A 2018030 
34-062517 U US NJ MIDDLE TOWNSHIP  39 04 23.65N 074 47 42.74W UTILITY POLE       1 00078 00084 N 4 D N 2017AEA08500OE C 2018030 
34-062600 U US NJ MIDDLE TOWNSHIP  39 04 24.44N 074 44 40.77W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08614OE A 2018030 
34-062516 U US NJ MIDDLE TOWNSHIP  39 04 24.73N 074 47 44.50W UTILITY POLE       1 00078 00083 N 4 D N 2017AEA08499OE C 2018030 
34-062596 U US NJ MIDDLE TOWNSHIP  39 04 25.83N 074 44 39.59W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08615OE A 2018030 
34-062609 U US NJ MIDDLE TOWNSHIP  39 04 26.68N 074 44 38.88W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08616OE A 2018030 
34-062515 U US NJ MIDDLE TOWNSHIP  39 04 26.86N 074 47 48.02W UTILITY POLE       1 00083 00088 N 4 D N 2017AEA08498OE C 2018030 
34-062598 U US NJ MIDDLE TOWNSHIP  39 04 27.60N 074 44 38.12W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08618OE A 2018030 
34-062597 U US NJ MIDDLE TOWNSHIP  39 04 28.47N 074 44 37.37W UTILITY POLE       1 00071 00076 N 4 D N 2017AEA08617OE A 2018030 
34-067339 U US NJ MIDDLE TOWNSHIP  39 04 28.97N 074 47 51.50W T-L TWR            1 00083 00088 N 4 D N 2017AEA08627OE A 2018074 
34-062601 U US NJ MIDDLE TOWNSHIP  39 04 29.51N 074 44 36.51W UTILITY POLE       1 00071 00076 N 4 D N 2017AEA08619OE A 2018030 
34-062602 U US NJ MIDDLE TOWNSHIP  39 04 30.45N 074 44 35.70W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08620OE A 2018030 
34-062514 U US NJ MIDDLE TOWNSHIP  39 04 31.11N 074 47 54.98W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08497OE C 2018030 
34-062603 U US NJ MIDDLE TOWNSHIP  39 04 31.44N 074 44 34.87W UTILITY POLE       1 00071 00076 N 4 D N 2017AEA08621OE A 2018030 
34-062604 U US NJ MIDDLE TOWNSHIP  39 04 32.21N 074 44 34.23W UTILITY POLE       1 00071 00076 N 4 D N 2017AEA08622OE A 2018030 
34-062513 U US NJ MIDDLE TOWNSHIP  39 04 33.23N 074 47 58.50W UTILITY POLE       1 00084 00088 N 4 D N 2017AEA08496OE C 2018030 
34-062610 U US NJ MIDDLE TOWNSHIP  39 04 33.64N 074 44 33.02W UTILITY POLE       1 00071 00076 N 4 D N 2017AEA08623OE A 2018030 
34-062605 U US NJ MIDDLE TOWNSHIP  39 04 34.53N 074 44 32.26W UTILITY POLE       1 00076 00081 N 4 D N 2017AEA08624OE A 2018030 
